net,total_cap_dnet,total_res,wire_R_true,wirelen_m3,wirelen_m1,wirelen_m2,n_via_v1,n_via_v2,wirelen_m5,wirelen_m4,n_via_v3,n_via_v4,R_analytic_metal,ape_B,bias_B_signed,ape_metal_only_vs_truth,R_analytic_full,ape_C,bias_C_signed,q
CTS_2,25.0607,6043.929918000012,2713.048918,83.93200000000002,32.252,24.72499999999994,100,99.0,14.34,57.56799999999999,57.0,10.0,2786.8558091626583,53.89000456701436,-53.89000456701436,2.720440854308927,6117.636809162658,1.2195192889833641,1.2195192889833641,Q4
CTS_4,22.2275,5171.891140999995,2426.632641000001,77.50899999999997,24.511999999999997,19.407999999999944,82,74.0,8.030000000000001,55.888,55.0,6.0,2440.523500684997,52.811777468828986,-52.811777468828986,0.5724335628845613,5157.127200684998,0.28546502454307865,-0.28546502454307865,Q4
CTS_5,21.4285,5317.855522,2450.122322000001,90.89100000000016,30.050000000000004,22.642999999999923,90,86.0,0.0,49.61999999999999,53.0,0.0,2531.2837270041805,52.400291498476314,-52.400291498476314,3.312545021749301,5393.07422700418,1.4144555957377938,1.4144555957377938,Q4
FE_DBTN0_mcycle_2,4.87115,1077.0635229999996,515.1422230000001,15.442000000000007,6.576000000000001,13.929999999999998,18,22.0,0.0,2.9800000000000004,5.0,0.0,504.71037096358214,53.140148172710674,-53.140148172710674,2.0250430989070605,1066.613670963582,0.9702168733104055,-0.9702168733104055,Q4
FE_OCPN2454_i_tv80_core_n_18881,1.87981,316.4180610000001,179.931561,9.56,1.4060000000000001,2.3089999999999997,5,6.0,0.0,0.0,0.0,0.0,175.70412407164181,44.47089286991056,-44.47089286991056,2.349469378725711,312.1856240716418,1.337609147525322,-1.337609147525322,Q4
FE_OFN0_n_2231,6.39477,1024.0119359999992,582.6018359999998,19.552,3.0940000000000007,3.3319999999999985,11,11.0,1.9000000000000001,15.324000000000002,11.0,2.0,577.5644294759775,43.59788112118471,-43.59788112118471,0.8646396582969824,1018.9635294759776,0.49300270304873023,-0.49300270304873023,Q4
FE_OFN11_i_tv80_core_ISet_1,12.6771,1895.5860870000013,1168.1344869999998,22.737000000000002,5.694000000000003,15.328999999999994,21,17.0,22.610000000000003,19.77,14.0,6.0,1144.252556290222,39.635948789793936,-39.635948789793936,2.0444504443243843,1871.683156290222,1.260978378861628,-1.260978378861628,Q4
FE_OFN12_i_tv80_core_ISet_1,3.99929,710.00631,383.30591,3.3999999999999986,2.6460000000000004,4.67,9,7.0,5.95,12.248000000000001,7.0,3.0,382.42882367649986,46.13726409325857,-46.13726409325857,0.22882149756055756,709.1202236764999,0.12479978149772791,-0.12479978149772791,Q4
FE_OFN14_n_532,0.580852,120.01305699999999,59.030757,1.9000000000000001,0.9419999999999998,1.6550000000000002,3,2.0,0.0,0.0,0.0,0.0,57.712329313432846,51.91162465477998,-51.91162465477998,2.2334588840985976,118.69162931343286,1.1010699332216276,-1.1010699332216276,Q2
FE_OFN17_n_152,0.152807,68.34002600000001,18.972826,0.37,0.8079999999999999,0.38999999999999996,2,2.0,0.0,0.0,0.0,0.0,18.685554113432836,72.65796458223058,-72.65796458223058,1.51412281210593,68.05075411343284,0.4232832550680679,-0.4232832550680679,Q1
